Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK86127.2,Atu0311,no name,conserved hypothetical protein,AE007869.2,303448-304980
AAK86128.1,Atu0312,cysK,cysteine synthase,AE007869.2,complement(305093-306061)
AAK86129.2,Atu0313,no name,RhtB family transporter,AE007869.2,complement(306202-306819)
AAK86130.1,Atu0314,dut,deoxyuridine 5,AE007869.2,complement(306897-307367)
AAK86131.1,Atu0315,prfC,peptide chain release factor 3,AE007869.2,307457-309040
AAK86132.2,Atu0316,dfp,DNA/pantothenate metabolism flavoprotein,AE007869.2,309110-310315
AAK86133.1,Atu0317,no name,conserved hypothetical protein,AE007869.2,310312-310686
AAK86134.2,Atu0318,no name,conserved hypothetical protein,AE007869.2,complement(310694-311608)
AAK86135.1,Atu0319,aarF,ubiquinone biosynthesis protein,AE007869.2,complement(312080-313654)
AAK86136.2,Atu0320,ubiE,ubiquinone/menaquinone biosynthesis methyltransferase,AE007869.2,complement(313691-314467)
AAK86137.2,Atu0321,mutM,formamidopyrimidine-DNA glycosylase,AE007869.2,314611-315507
AAK86138.2,Atu0322,fadB,enoyl CoA hydratase,AE007869.2,315554-316315
AAK86139.1,Atu0323,rpsT,30S ribosomal protein S20,AE007869.2,316511-316777
AAK86141.2,Atu0324,dnaA,chromosomal replication initiator protein DnaA,AE007869.2,317547-319109
AAK86142.2,Atu0325,hemN,oxygen-independent coproporphyrinogen III oxidase,AE007869.2,complement(319179-320378)
AAK86143.2,Atu0326,ham1,putative deoxyribonucleotide triphosphate pyrophosphatase,AE007869.2,complement(320384-321028)
AAK86144.2,Atu0327,rph,ribonuclease PH,AE007869.2,complement(321046-321762)
AAK86145.1,Atu0328,hrcA,heat-inducible transcription repressor,AE007869.2,321899-322990
AAK86146.1,Atu0329,grpE,GRPE protein,AE007869.2,323105-323740
AAK86147.1,Atu0330,ptsN,nitrogen regulatory IIA protein,AE007869.2,complement(323822-324283)
AAK86148.2,Atu0331,no name,sigma-54 modulation protein,AE007869.2,complement(324366-324938)
AAK86149.1,Atu0332,rpoN,RNA polymerase sigma-54 factor,AE007869.2,complement(325172-326716)
AAK86150.1,Atu0333,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,complement(326869-327678)
AAK86151.2,Atu0334,no name,conserved hypothetical protein,AE007869.2,complement(327688-328251)
AAK86152.1,Atu0335,no name,conserved hypothetical protein,AE007869.2,complement(328265-328972)
AAK86153.1,Atu0337,sppA,proteinase IV,AE007869.2,329164-330117
AAK86154.1,Atu0338,ihfB,"integration host factor, beta subunit",AE007869.2,330144-330446
AAK86155.2,Atu0339,no name,conserved hypothetical protein,AE007869.2,330498-330854
AAK86156.1,Atu0340,no name,SAM dependent methyltransferase,AE007869.2,331152-332081
AAK86157.2,Atu0341,trmH,rRNA methylase,AE007869.2,332078-332938
AAK86158.1,Atu0342,lspA,lipoprotein signal peptidase,AE007869.2,332938-333426
AAK86160.2,Atu0343,barA,two component sensor kinase/response regulator hybrid,AE007869.2,333482-335722
AAK86161.2,Atu0344,no name,conserved hypothetical protein,AE007869.2,335817-336698
AAK86162.2,Atu0345,mutS,"DNA mismatch repair protein, MutS family",AE007869.2,336889-339540
AAK86163.2,Atu0346,glnD,uridylyltransferase/uridylyl-removing enzyme UTase,AE007869.2,339637-342465
AAK86164.2,Atu0347,mviN,virulence factor MviN,AE007869.2,342473-344062
AAK86165.1,Atu0348,no name,conserved hypothetical protein,AE007869.2,344062-344466
AAK86166.2,Atu0349,trpS,tryptophan-tRNA ligase,AE007869.2,344570-345634
AAK86167.1,Atu8118,no name,putative universal stress protein,AE007869.2,345749-346240
AAK86168.1,Atu0351,no name,conserved hypothetical protein,AE007869.2,346383-346946
AAK86169.1,Atu0352,no name,conserved hypothetical protein,AE007869.2,346963-347631
AAK86170.1,Atu0353,no name,acetyltransferase,AE007869.2,347675-348169
AAK86171.1,Atu0354,fur,ferric uptake regulator,AE007869.2,348239-348667
AAK86172.1,Atu0355,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,AE007869.2,348698-349492
AAK86173.2,Atu0356,miaB,miaB protein,AE007869.2,349679-351046
AAK86174.2,Atu0357,phoH,phosphate starvation inducible protein,AE007869.2,351087-352142
AAK86175.2,Atu0358,no name,conserved hypothetical protein,AE007869.2,352153-352659
AAK86176.2,Atu0359,no name,hemolysin,AE007869.2,352675-353817
AAK86177.1,Atu0360,lnt,apolipoprotein N-acyltransferase,AE007869.2,354024-355613
AAK86178.2,Atu0361,no name,transcriptional regulator,AE007869.2,355747-356166
AAK86179.1,Atu0362,metK,S-adenosylmethionine synthetase,AE007869.2,356353-357615
AAK86180.1,Atu0363,no name,putative tRNA (guanine-N(7)-)-methyltransferase,AE007869.2,357787-358485
AAK86181.1,Atu0364,rbsK,ribokinase,AE007869.2,complement(358549-359448)
AAK86182.1,Atu0365,no name,conserved hypothetical protein,AE007869.2,complement(359503-360735)
AAK86183.1,Atu0366,def,polypeptide deformylase,AE007869.2,360846-361358
AAK86184.1,Atu0367,fmt,methionyl-tRNA formyl transferase,AE007869.2,361403-362338
AAK86185.1,Atu0368,truA,tRNA pseudouridine synthase I,AE007869.2,362338-363138
AAK86186.1,Atu0369,no name,conserved hypothetical protein,AE007869.2,complement(363158-363754)
AAK86187.1,Atu0370,dapE,succinyl-diaminopimelate desuccinylase,AE007869.2,complement(363738-364934)
AAK86188.2,Atu0371,dapD,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",AE007869.2,complement(364949-365803)
AAK86189.1,Atu0372,no name,conserved hypothetical protein,AE007869.2,365886-366806
AAK86190.2,Atu0373,no name,methyl-accepting chemotaxis protein,AE007869.2,366973-369300
AAK86191.2,Atu0374,iunH,inosine-uridine preferring nucleoside hydrolase,AE007869.2,complement(369370-370314)
AAK86192.1,Atu0375,hspC,small heat shock protein,AE007869.2,370520-370945
AAK86193.1,Atu0376,no name,conserved hypothetical protein,AE007869.2,371002-371259
AAK86194.2,Atu0377,no name,conserved hypothetical protein,AE007869.2,complement(371302-371898)
AAK86195.2,Atu0378,no name,hydrolase,AE007869.2,complement(372000-372713)
AAK86196.1,Atu0379,no name,conserved hypothetical protein,AE007869.2,372820-373737
AAK86197.1,Atu0380,argB,acetylglutamate kinase,AE007869.2,complement(373783-374667)
AAL41403.1,Atu0381,no name,hypothetical protein,AE007869.2,complement(374715-374855)
AAK86198.1,Atu0382,no name,conserved hypothetical protein,AE007869.2,375023-375400
AAK86199.1,Atu0383,cgpA,GTP-binding protein,AE007869.2,complement(375413-376066)
AAK86200.2,Atu0384,yidC,preprotein translocase 60 kD membrane subunit,AE007869.2,complement(376063-377862)
AAK86201.2,Atu0385,rnpA,ribonuclease P protein component,AE007869.2,complement(377862-378245)
ABW89718.1,Atu8066,rpmH,50S ribosomal protein L34,AE007869.2,complement(378282-378419)
AAL41408.1,Atu0386,no name,hypothetical protein,AE007869.2,complement(378461-378733)
AAK86202.2,Atu0387,mcpA,methyl-accepting chemotaxis protein,AE007869.2,378771-380819
AAK86203.1,Atu0388,no name,two component sensor kinase,AE007869.2,381014-382489
AAK86204.1,Atu8009,no name,hypothetical protein,AE007869.2,382568-382669
AAK86205.2,Atu0390,ubiE,ubiquinone/menaquinone biosynthesis methyltransferase,AE007869.2,382964-383776
AAK86206.2,Atu0391,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,384108-385139
AAK86207.1,Atu0392,no name,"ABC transporter, membrane spanning protein",AE007869.2,385136-386062
AAK86208.1,Atu0393,no name,"ABC transporter, membrane spanning protein",AE007869.2,386062-386883
AAK86209.1,Atu0394,no name,"ABC transporter, substrate binding protein (sugar)",AE007869.2,386926-388218
AAK86210.2,Atu0395,no name,conserved hypothetical protein,AE007869.2,388283-389083
AAK86211.2,Atu0396,no name,coenzyme A transferase,AE007869.2,389381-390877
AAK86212.2,Atu0397,no name,conserved hypothetical protein,AE007869.2,391047-392369
AAK86213.1,Atu0398,no name,conserved hypothetical protein,AE007869.2,392498-393535
AAK86214.2,Atu0399,pyrC,dihydroorotase,AE007869.2,393648-394685
AAK86215.2,Atu0400,pyrE,orotate phosphoribosyltransferase,AE007869.2,394837-395535
AAK86216.2,Atu0401,scrK,fructokinase,AE007869.2,395635-396561
AAK86217.2,Atu0402,no name,conserved hypothetical protein,AE007869.2,396686-397651
AAK86218.1,Atu0403,no name,conserved hypothetical protein,AE007869.2,397648-398376
AAK86219.1,Atu0404,pgi,glucose-6-phosphate isomerase,AE007869.2,complement(398432-400057)
AAK86220.1,Atu0405,fadD,long-chain-fatty-acid-CoA-ligase,AE007869.2,complement(400188-401900)
AAK86221.2,Atu0406,fbpA1,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,402258-403307
AAK86222.2,Atu0407,fbpA,"ABC transporter, substrate binding protein (iron)",AE007869.2,403461-404477
AAK86223.1,Atu0408,fbpA3,"ABC transporter, membrane spanning protein",AE007869.2,404550-406226
AAK86224.2,Atu0409,no name,ferrichrome iron receptor,AE007869.2,406406-408595
AAK86225.2,Atu0410,no name,"transcriptional regulator, AraC family",AE007869.2,408723-409586
AAK86226.2,Atu8119,no name,conserved hypothetical protein,AE007869.2,409701-410108
AAK86227.2,Atu8120,no name,hypothetical protein,AE007869.2,complement(410201-410443)
AAK86229.2,Atu0413,no name,stress induced protein,AE007869.2,complement(410761-410919)
AAK86230.2,Atu0415,no name,conserved hypothetical protein,AE007869.2,complement(411286-412248)
AAK86231.2,Atu8121,no name,conserved hypothetical protein,AE007869.2,412452-413651
AAK86232.1,Atu0418,no name,conserved hypothetical protein,AE007869.2,complement(413701-414582)
AAK86233.1,Atu0419,no name,two component sensor kinase,AE007869.2,414781-416082
AAK86234.1,Atu0420,no name,"ABC transporter, substrate binding protein (phosphate)",AE007869.2,416278-417312
AAK86235.2,Atu0421,pstC,"ABC transporter, membrane spanning protein",AE007869.2,417601-419085
AAK86236.1,Atu0422,pstA,"ABC transporter, membrane spanning protein",AE007869.2,419082-420404
AAK86237.1,Atu0423,pstB,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,420419-421234
AAK86238.1,Atu0424,phoU,phosphate transport system regulatory protein,AE007869.2,421331-422056
AAK86239.1,Atu0425,phoB,two component response regulator,AE007869.2,422089-422772
AAL41446.1,Atu0426,no name,hypothetical protein,AE007869.2,423109-423690
AAK86240.1,Atu0427,no name,hypothetical protein,AE007869.2,423750-423998
AAK86241.1,Atu0428,argD,acetylornithine aminotransferase,AE007869.2,424029-425228
AAK86242.1,Atu0429,argF,ornithine carbamoyltransferase,AE007869.2,425285-426202
AAK86243.2,Atu0430,hslO,chaperonin (heat shock protein hsp33),AE007869.2,426439-427428
AAK86244.2,Atu0431,apaG,apaG protein,AE007869.2,complement(427501-427893)
AAK86245.1,Atu0432,no name,O-succinylhomoserine sulfhydrylase,AE007869.2,complement(428128-429312)
AAK86246.1,Atu0434,dcd,2'-deoxycytidine 5'-triphosphate deaminase,AE007869.2,429508-430620
AAK86247.1,Atu0436,no name,conserved hypothetical protein,AE007869.2,430993-433149
AAK86248.1,Atu0437,no name,conserved hypothetical protein,AE007869.2,433149-433829
AAK86249.2,Atu0438,intD,phage-related integrase,AE007869.2,complement(433831-434859)
AAK86250.1,Atu8122,no name,conserved hypothetical protein,AE007869.2,complement(435142-436047)
AAK86254.1,Atu8123,no name,hypothetical protein,AE007869.2,complement(437097-437330)
AAK86255.2,Atu8124,no name,hypothetical protein,AE007869.2,complement(437495-437917)
AAK86257.1,Atu0443,no name,putative phage repressor,AE007869.2,complement(438416-439111)
AAK86258.1,Atu0444,no name,conserved hypothetical protein,AE007869.2,439119-439418
AAK86260.1,Atu0445,no name,hypothetical protein,AE007869.2,439628-440125
AAK86261.2,Atu0446,no name,conserved hypothetical protein,AE007869.2,440613-441758
AAK86262.1,Atu8082,no name,conserved hypothetical protein,AE007869.2,441917-442468
AAK86263.2,Atu0447,no name,hypothetical protein,AE007869.2,442525-443106
AAK86264.1,Atu0448,no name,hypothetical protein,AE007869.2,443103-443396
AAK86265.2,Atu0449,no name,hypothetical protein,AE007869.2,443396-444616
AAK86266.2,Atu0450,nusG,transcription antitermination protein,AE007869.2,444726-445292
AAK86267.1,Atu8125,no name,conserved hypothetical protein,AE007869.2,445537-446106
AAK86268.2,Atu8083,no name,conserved hypothetical protein,AE007869.2,446189-447001
AAL41471.1,Atu0452,no name,hypothetical protein,AE007869.2,complement(447142-447747)
AAK86271.1,Atu0453,no name,hypothetical protein,AE007869.2,448012-448758
AAK86272.1,Atu0454,no name,hypothetical protein,AE007869.2,448758-449309
AAK86273.1,Atu8126,no name,putative phage tail protein I,AE007869.2,449518-450183
AAK86274.1,Atu8127,no name,conserved hypothetical protein,AE007869.2,450196-452397
AAK86275.2,Atu0457,no name,conserved hypothetical protein,AE007869.2,452511-454250
AAK86276.1,Atu0458,no name,hypothetical protein,AE007869.2,complement(454247-454615)
AAK86277.1,Atu8128,no name,putative bacteriophage P2 tail protein,AE007869.2,454649-455113
AAL41479.1,Atu0460,no name,conserved hypothetical protein,AE007869.2,455118-455330
AAK86278.2,Atu0461,no name,conserved hypothetical protein,AE007869.2,455333-456493
AAK86279.2,Atu0462,no name,endolysin,AE007869.2,456537-457178
AAL41482.1,Atu0463,no name,hypothetical protein,AE007869.2,complement(457154-457471)
AAK86280.2,Atu0464,no name,hypothetical protein,AE007869.2,457559-457882
AAL41484.1,Atu0465,no name,transcriptional regulator,AE007869.2,complement(457933-458391)
AAL41485.1,Atu0466,no name,hypothetical protein,AE007869.2,complement(458394-458753)
AAL41486.1,Atu0467,no name,hypothetical protein,AE007869.2,complement(458882-459028)
AAK86281.1,Atu0468,no name,hypothetical protein,AE007869.2,459236-459649
AAL41488.1,Atu0469,no name,conserved hypothetical protein,AE007869.2,459731-460009
AAL41489.1,Atu0470,no name,conserved hypothetical protein,AE007869.2,460159-460419
AAK86283.2,Atu0471,no name,hypothetical protein,AE007869.2,complement(460517-460756)
AAK86284.2,Atu0472,no name,conserved hypothetical protein,AE007869.2,461200-461757
AAK86285.2,Atu0473,no name,hypothetical protein,AE007869.2,complement(461846-462760)
AAK86286.2,Atu0474,no name,putative RNA polymerase sigma-70 factor,AE007869.2,462837-463382
AAK86287.2,Atu0475,no name,hypothetical protein,AE007869.2,463379-464083
AAK86288.1,Atu0476,aqpZ,aquaporin,AE007869.2,464352-465077
AAK86289.1,Atu0477,no name,conserved hypothetical protein,AE007869.2,465100-465423
AAK86291.2,Atu0478,no name,glycosyltransferase,AE007869.2,complement(465635-467182)
AAK86292.2,Atu0479,no name,"ABC transporter, substrate binding protein (amino acid)",AE007869.2,467742-468503
AAK86293.2,Atu0480,no name,polysaccharide biosynthesis protein,AE007869.2,complement(468531-469733)
AAK86294.2,Atu0481,exoQ,exopolysaccharide production protein,AE007869.2,470111-471406
AAK86295.1,Atu0482,no name,polysaccharide deacetylase,AE007869.2,471433-472185
AAK86296.1,Atu0483,c1,bacteriophage repressor protein C1,AE007869.2,complement(472247-472897)
AAK86297.2,Atu0484,no name,two component response regulator,AE007869.2,complement(473010-473660)
AAK86298.2,Atu0485,no name,conserved hypothetical protein,AE007869.2,473913-474266
AAK86299.2,Atu0486,pyrD,dihydroorotate dehydrogenase,AE007869.2,474266-475357
AAK86300.1,Atu8129,no name,conserved hypothetical protein,AE007869.2,complement(475394-475891)
AAK86301.2,Atu0488,no name,conserved hypothetical protein,AE007869.2,complement(475893-476159)
AAK86302.2,Atu0489,no name,methyltransferase,AE007869.2,476434-477270
AAK86303.2,Atu0490,no name,conserved hypothetical protein,AE007869.2,477406-478017
AAK86304.2,Atu0491,no name,conserved hypothetical protein,AE007869.2,478100-478741
AAK86305.2,Atu0492,no name,conserved hypothetical protein,AE007869.2,complement(478768-479229)
AAK86306.2,Atu0493,no name,conserved hypothetical protein,AE007869.2,complement(479337-479840)
AAK86307.2,Atu0494,lhr,large atp-dependant helicase-related protein,AE007869.2,480100-482478
AAK86308.1,Atu0495,no name,conserved hypothetical protein,AE007869.2,482513-483241
AAK86309.2,Atu0496,no name,conserved hypothetical protein,AE007869.2,complement(483264-483701)
AAK86310.2,Atu8130,no name,hypothetical protein,AE007869.2,complement(483859-484650)
AAK86311.2,Atu0498,no name,conserved hypothetical protein,AE007869.2,complement(484683-485609)
AAK86312.2,Atu0499,no name,conserved hypothetical protein,AE007869.2,complement(485874-489620)
AAK86313.1,Atu0500,no name,hypothetical protein,AE007869.2,489550-489831
AAK86314.2,Atu0501,acd,acyl-CoA dehydrogenase,AE007869.2,489997-491793
AAK86315.1,Atu0502,no name,acetyl-CoA acetyltransferase,AE007869.2,491832-493040
AAK86316.1,Atu0503,fadB,enoyl-CoA hydratase,AE007869.2,493225-495441
AAK86317.2,Atu0504,no name,hypothetical protein,AE007869.2,495598-496029
AAK86318.1,Atu8010,no name,hypothetical protein,AE007869.2,496071-496277
AAK86320.2,Atu0506,no name,conserved hypothetical protein,AE007869.2,496545-497132
AAK86321.1,Atu0507,phaG,potassium efflux system protein,AE007869.2,complement(497142-497486)
AAK86322.1,Atu0508,phaF,PH Adaption potassium efflux system,AE007869.2,complement(497483-497764)
AAK86323.2,Atu0509,phaE,phaE protein,AE007869.2,complement(497761-498246)
AAK86324.2,Atu0510,phaD,pH adaption potassium efflux system protein,AE007869.2,complement(498246-499889)
AAK86325.1,Atu0511,phaC,pH adaption potassium efflux system protein,AE007869.2,complement(499889-500224)
AAK86326.1,Atu8131,phaA,pH adaption potassium efflux system protein,AE007869.2,complement(500224-503142)
AAK86327.2,Atu0513,no name,hypothetical protein,AE007869.2,complement(503248-503625)
AAK86328.2,Atu0514,no name,methyl-accepting chemotaxis protein,AE007869.2,504030-505736
AAK86329.1,Atu0515,no name,conserved hypothetical protein,AE007869.2,505736-506035
AAK86330.1,Atu0516,cheY,chemotaxis receiver protein,AE007869.2,506032-506397
AAK86331.2,Atu0517,cheA,Chemotaxis protein histidine kinase,AE007869.2,506474-508687
AAK86332.1,Atu0518,cheR,chemotaxis methyltransferase,AE007869.2,508701-509609
AAK86333.1,Atu0519,cheB,protein-glutamate methylesterase,AE007869.2,509606-510661
AAK86334.1,Atu0520,cheY,chemotaxis receiver protein,AE007869.2,510661-511050
AAK86335.1,Atu0521,cheD,methyl-accepting chemotaxis protein,AE007869.2,511047-511592
AAK86336.1,Atu0522,no name,conserved hypothetical protein,AE007869.2,511607-511990
AAK86337.1,Atu0523,fliF,flagellar M-ring protein,AE007869.2,512099-513799
AAK86339.2,Atu0524,luxR,"transcriptional regulator, LuxR family",AE007869.2,514221-514901
AAK86340.1,Atu0525,agrR,"transcriptional regulator, LuxR family",AE007869.2,514901-515656
AAK86341.2,Atu0526,mclA,methyl-accepting chemotaxis protein,AE007869.2,515805-517652
